ID,COUNTRY,CITY,LATITUDE,LONGITUDE
1,Russia,Moscow,37.61104872545286,55.75493172083824
2,Azerbaijan,Baku,49.84711518630141,40.377952655356495
3,Armenia,Erevan,44.517139434905545,40.18024441394999
4,Belarussia,Minsk,27.56546572505232,53.89780348734769
5,Kazahstan,Astana,71.43158106164174,51.12999777022057
6,Latvia,Riga,24.10644842445302,56.95266450431822
7,Litva,Vilnus,25.28153989352768,54.68933764327397
8,Georgy,Tbilisi,44.80148888742954,41.70073074100128
